Iteration,Cohort,Sex,AFR
80,9,F,9.17702127207694
81,9,F,8.85800639228138
82,9,F,9.09943729077379
83,9,F,8.91787039744763
84,9,F,8.97793942720504
85,9,F,9.20732332018665
86,9,F,9.19517375535363
87,9,F,9.23470893692743
88,9,F,9.11913222958568
89,9,F,9.11654513555573
90,9,F,9.32610945749468
91,9,F,8.8365425506921
92,9,F,9.22634575220341
93,9,F,8.78329955060853
94,9,F,9.02110517951264
95,9,F,9.15866152534096
96,9,F,8.95851860098251
97,9,F,9.2394154711956
98,9,F,9.06221403467961
99,9,F,9.11002237474121
100,9,F,9.06840035770642
1,10,F,9.82736646915426
2,10,F,9.38441971935425
3,10,F,9.53101930408165
4,10,F,9.55934595594355
5,10,F,9.46751923739579
6,10,F,9.51765354420147
7,10,F,9.36915891526132
8,10,F,9.32427793010924
9,10,F,9.6080066405103
10,10,F,9.15207805325661
11,10,F,9.2696237079906
12,10,F,9.15702653148742
13,10,F,9.22218362615143
14,10,F,9.37194292823533
15,10,F,9.12010914811202
16,10,F,9.088290392099
17,10,F,9.12464030713165
18,10,F,9.2466562244522
19,10,F,9.02537271053189
20,10,F,9.52034981418938
21,10,F,8.95544617584217
22,10,F,9.12333621793096
23,10,F,9.48835492447238
24,10,F,9.164976616533
25,10,F,9.1000582135175
26,10,F,9.51037105336503
27,10,F,9.4161578617585
28,10,F,8.96105501451605
29,10,F,8.90691054346785
30,10,F,9.27754515432605
31,10,F,9.04024498857119
32,10,F,9.25271499534188
33,10,F,9.67951349571104
34,10,F,9.08460846252829
35,10,F,9.42306900760735
36,10,F,9.3184191090575
37,10,F,9.11631831090598
38,10,F,9.67877890989014
39,10,F,9.25569898834586
40,10,F,9.20700045946146
41,10,F,9.40654641759254
42,10,F,8.9324705275604
43,10,F,8.92654300481885
44,10,F,9.05894040421434
45,10,F,9.39597112843483
46,10,F,9.56796381919721
47,10,F,9.36815983349429
48,10,F,9.22834858672899
49,10,F,9.630754390982
50,10,F,9.18740551735858
51,10,F,9.25726946715194
52,10,F,9.074130036586
53,10,F,9.32179938946989
54,10,F,9.19848135678566
55,10,F,9.38785874254514
56,10,F,9.33303836214625
57,10,F,9.05545162000823
58,10,F,9.18694555246484
59,10,F,9.48385465989087
60,10,F,9.46706367138703
61,10,F,9.27460539584298
62,10,F,9.51492814328182
63,10,F,9.33961412027167
64,10,F,9.04401831167005
65,10,F,8.96564620838077
66,10,F,9.06853996042835
67,10,F,9.35798150015879
68,10,F,9.06440199126125
69,10,F,9.04507405596899
70,10,F,9.1980785492966
71,10,F,9.22523051552078
72,10,F,8.84851108755667
73,10,F,9.01182169995145
74,10,F,9.5840792550493
75,10,F,9.16282501381223
76,10,F,9.13769356162033
77,10,F,9.21712427181624
78,10,F,9.2418923204723
79,10,F,9.52790656347923
80,10,F,9.1144220723362
81,10,F,9.59096155079334
82,10,F,9.13037683911449
83,10,F,9.41612835809078
84,10,F,9.01853875577735
85,10,F,9.61479783155289
86,10,F,9.73243264047789
87,10,F,9.14368157307529
88,10,F,9.16248064725818
89,10,F,9.23326205161151
90,10,F,9.33006121405753
91,10,F,9.29945119300799
92,10,F,9.53257073413439
93,10,F,9.2684666100056
